Position_title,organization_hiring,duty_station,position_status,date_posted,limit_date,job_description
Associate Researcher (Antimicrobial Resistance Department),International Vaccine Institute (IVI),,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53949790
Project Analyst (Value Chains Specialist) (NPSA-8),United Nations Development Programme (UNDP),Dushanbe (Tajikistan),Consultancy,Posted 1 week ago,Closing soon: 22 Feb 2023,https://www.unjobnet.org/jobs/detail/53947451
Regional Digital Data and Systems Adviser CEE,Norwegian Refugee Council (NRC),Warsaw (Poland),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53946754
"Consultancy for a Firm to conduct survey to support choice experiment analysis for Lake Beseka, Ethiopia",International Food Policy Research Institute (IFPRI),Addis Ababa (Ethiopia),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53946733
"Epidemiologist, Research Associate, Greater Mekong Subregion","The Clinton Health Access Initiative, Inc. (CHAI)",Laos,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53945997
Internal Research Fellow (PostDoc) in Meteoroid Environment Modelling,European Space Agency (ESA),,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53944724
ILI SARI Data Assistant,World Health Organization (WHO),Jakarta (Indonesia),Full-time,Posted 1 week ago,Close on 28 Feb 2023,https://www.unjobnet.org/jobs/detail/53944527
Data Manager,World Health Organization (WHO),Dhaka (Bangladesh),Full-time,Posted 1 week ago,Close on 28 Feb 2023,https://www.unjobnet.org/jobs/detail/53944526
Research Scientist,Partners In Health (PIH),Kigali (Rwanda),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53943919
Crop Management-Senior Research Technician,International Crops Research Institute for the Semi-Arid Tropics (ICRISAT),Patancheru (India),Full-time,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53943533
Consultant- Spatial Data Scientist,Center for International Forestry Research (CIFOR),Nairobi (Kenya),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53943531
Research Officer - Resilient Water Management and Livelihoods,International Water Management Institute (IWMI),Kathmandu (Nepal),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53943411
Research Software Developer,International Institute for Applied Systems Analysis (IIASA),,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53943389
Associate Researcher (Clinical Development Department) [based in Seoul],International Vaccine Institute (IVI),,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53943017
Associate Research Scientist (Antimicrobial Resistance Department) [based in Seoul],International Vaccine Institute (IVI),,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53943015
(Senior) Business and Data Analyst,European Investment Bank (EIB),Luxembourg,Full-time,Posted 1 week ago,Close on 28 Feb 2023,https://www.unjobnet.org/jobs/detail/53942797
Senior Researcher on Artificial Intelligence - Team Lead (P3),United Nations University (UNU),Macao,Mid-level Professional,Posted 1 week ago,Close on 9 Mar 2023,https://www.unjobnet.org/jobs/detail/53936305
Researcher - Data Science (PSA contract),United Nations University (UNU),Macao,Consultancy,Posted 1 week ago,Close on 9 Mar 2023,https://www.unjobnet.org/jobs/detail/53936304
"VN 2023 33 Business Transformation Officer (Data Migration Execution and Test) (P3) Manila, Philippines",International Organization for Migration (IOM),Manila (Philippines),Mid-level Professional,Posted 1 week ago,Closing soon: 21 Feb 2023,https://www.unjobnet.org/jobs/detail/53935895
Analyst/Associate Analyst,Nordic Investment Bank (NIB),Helsinki (Finland),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53925053
Senior Analyst Grants Management Unit,Bioversity International,,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53924818
Director of Economic Evaluation & Research,International Rescue Committee (IRC),Colombia,Full-time,Posted 1 week ago,Close on 1 Sep 2023,https://www.unjobnet.org/jobs/detail/53923186
"Analyst, Banking",European Bank for Reconstruction and Development (EBRD),Istanbul (Turkey),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53918829
"Analyst, Banking, Ljubljana",European Bank for Reconstruction and Development (EBRD),Ljubljana (Slovenia),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53918828
Consultant - EiE Data and System Strengthening - Evidence and learnings,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",Paris (France),Consultancy,Posted 1 week ago,Closing soon: 17 Feb 2023,https://www.unjobnet.org/jobs/detail/53918727
Senior Research Scientist,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",Trieste (Italy),Mid-level Professional,Posted 1 week ago,Close on 9 Mar 2023,https://www.unjobnet.org/jobs/detail/53918726
Data and Knowledge Scientist(s),Organisation for Economic Co-operation and Development (OECD),Paris (France),,Posted 1 week ago,Closing soon: 26 Feb 2023,https://www.unjobnet.org/jobs/detail/53916199
Thematic Researcher,Amnesty International,,,Posted 1 week ago,Closing soon: 27 Feb 2023,https://www.unjobnet.org/jobs/detail/53912535
Researcher/Adviser Racial Justice,Amnesty International,United KingdomIreland,,Posted 1 week ago,Close on 28 Feb 2023,https://www.unjobnet.org/jobs/detail/53912534
"NATIONAL POST: GBV Analyst, Garowe - Somalia [NOB]",United Nations Development Programme (UNDP),Garoowe (Somalia),Entry Professional,Posted 1 week ago,Closing soon: 21 Feb 2023,https://www.unjobnet.org/jobs/detail/53909606
"NATIONAL POST: GBV Analyst, Hargeisa - Somaliland [NOB]",United Nations Development Programme (UNDP),Somalia,Entry Professional,Posted 1 week ago,Closing soon: 21 Feb 2023,https://www.unjobnet.org/jobs/detail/53909605
"NATIONAL POST: GBV Analyst, Baidoa - Somalia [NOB]",United Nations Development Programme (UNDP),Baidoa (Somalia),Entry Professional,Posted 1 week ago,Closing soon: 21 Feb 2023,https://www.unjobnet.org/jobs/detail/53909604
"NATIONAL POST: GBV Information Management Analyst, Mogadishu Somalia [NOA]",United Nations Development Programme (UNDP),Mogadishu (Somalia),Entry Professional,Posted 1 week ago,Closing soon: 21 Feb 2023,https://www.unjobnet.org/jobs/detail/53909602
National Consultant on Gender Statistics,United Nations Development Programme (UNDP),Tirana (Albania),Consultancy,Posted 1 week ago,Closing soon: 21 Feb 2023,https://www.unjobnet.org/jobs/detail/53909601
Agricultural Survey Statistician (Technical Assistance and Training),Food and Agriculture Organization (FAO),Rome (Italy),Consultancy,Posted 1 week ago,Closing soon: 21 Feb 2023,https://www.unjobnet.org/jobs/detail/53908687
Risk Information System Manager,Action contre la Faim,Madrid (Spain),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53908054
Associate Academic Officer: Implementation and Research (P-2),United Nations University (UNU),Bonn (Germany),Entry Professional,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53904977
Research and Development Analyst (NPSA8),United Nations Development Programme (UNDP),Lagos (Nigeria),Full-time,Posted 1 week ago,Closing soon: 21 Feb 2023,https://www.unjobnet.org/jobs/detail/53904975
"Spezialist*in Data Strategy in der Abteilung Methoden, Digitale Transformation und Innovation - ICT and Digitalisation",Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ),Eschborn (Germany),Full-time,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53903827
Head of Section (Education in Administrative Data) [Re-advertisement],"United Nations Educational, Scientific and Cultural Organization (UNESCO)",Montreal (Canada),Chief and Senior Professional,Posted 1 week ago,Close on 20 Mar 2023,https://www.unjobnet.org/jobs/detail/53902602
Head of Section (Research and Innovation in Monitoring Education) [Re-advertisement],"United Nations Educational, Scientific and Cultural Organization (UNESCO)",Montreal (Canada),Chief and Senior Professional,Posted 1 week ago,Close on 20 Mar 2023,https://www.unjobnet.org/jobs/detail/53902601
Senior Regional Advisor (Statistics) [Re-advertisement],"United Nations Educational, Scientific and Cultural Organization (UNESCO)",Dakar (Senegal),Chief and Senior Professional,Posted 1 week ago,Close on 20 Mar 2023,https://www.unjobnet.org/jobs/detail/53902600
Baseline Survey Specialist,Food and Agriculture Organization (FAO),Banjul (Gambia),Consultancy,Posted 1 week ago,Closing soon: 21 Feb 2023,https://www.unjobnet.org/jobs/detail/53901941
"Innovation Manager (Data and Business Solutions), P4 (Post # 123375) UNICEF Global Shared Services Centre (GSSC), Budapest, Hungary (Not for Hungarian nationals)",United Nations Children's Fund (UNICEF),Budapest (Hungary),Mid-level Professional,Posted 1 week ago,Closing soon: 21 Feb 2023,https://www.unjobnet.org/jobs/detail/53898837
"Business Transformation Officer (Regional Data Coordinator) NOB, Regional Bureau Cairo",World Food Programme (WFP),Egypt,Entry Professional,Posted 1 week ago,Closing soon: 20 Feb 2023,https://www.unjobnet.org/jobs/detail/53897979
Senior Researcher on Ethics of AI - Team Lead (P3),United Nations University (UNU),Macao,Mid-level Professional,Posted 1 week ago,Close on 8 Mar 2023,https://www.unjobnet.org/jobs/detail/53893694
Field Research Assistant-Assistant,International Crops Research Institute for the Semi-Arid Tropics (ICRISAT),,Full-time,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53891933
"Epidemiologist, Research Associate, Haiti","The Clinton Health Access Initiative, Inc. (CHAI)",Haiti,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53888514
Information management/policy and data officer (Temporary Job opening) [Temporary],United Nations Secretariat (UN),New York (United States),Mid-level Professional,Posted 1 week ago,Closing soon: 19 Feb 2023,https://www.unjobnet.org/jobs/detail/53883783
Clinical Research Manager III,FHI 360,,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53876506
Compensation and Benefits Support officer,Organisation for Economic Co-operation and Development (OECD),Paris (France),,Posted 1 week ago,Closing soon: 27 Feb 2023,https://www.unjobnet.org/jobs/detail/53873601
UN Women: Financing for Gender Equality Analyst,UN Women,New York (United States),Entry Professional,Posted 1 week ago,Closing soon: 27 Feb 2023,https://www.unjobnet.org/jobs/detail/53871726
Analyst Developer (TMA),International Criminal Police Organization (Interpol),Lyon (France),,Posted 1 week ago,Closing soon: 27 Feb 2023,https://www.unjobnet.org/jobs/detail/53869637
Project Analyst (Trade Policy Specialist) (NPSA-8),United Nations Development Programme (UNDP),Dushanbe (Tajikistan),Consultancy,Posted 1 week ago,Closing soon: 20 Feb 2023,https://www.unjobnet.org/jobs/detail/53867100
"Consultant, Data Analyst",International Federation of Red Cross and Red Crescent Societies (IFRC),Hungary,,Posted 1 week ago,Closing soon: 17 Feb 2023,https://www.unjobnet.org/jobs/detail/53865334
2546 Individual Contract Administration Consultant,United Nations Development Programme (UNDP),Belgrade (Serbia),,Posted 1 week ago,Closing soon: 19 Feb 2023,https://www.unjobnet.org/jobs/detail/53864942
Intern - Data Science and Machine Learning [Temporary],United Nations Economic and Social Commission for Western Asia (UNESCWA),Beirut (Lebanon),Intern,Posted 1 week ago,Closing soon: 20 Feb 2023,https://www.unjobnet.org/jobs/detail/53863079
INTERN - DATA AND KNOWLEDGE MANAGEMENT [Temporary],United Nations Human Settlements Programme (UN-HABITAT),Nairobi (Kenya),Intern,Posted 1 week ago,Closing soon: 20 Feb 2023,https://www.unjobnet.org/jobs/detail/53863077
"Research Fellow - Capacity Building Specialist, UNU-IIGH",United Nations University (UNU),Kuala Lumpur (Malaysia),Scholarship/Fellowship,Posted 1 week ago,Close on 28 Feb 2023,https://www.unjobnet.org/jobs/detail/53862510
Scientist (Implementation Research),World Health Organization (WHO),Geneva (Switzerland),Mid-level Professional,Posted 1 week ago,Closing soon: 27 Feb 2023,https://www.unjobnet.org/jobs/detail/53859601
IFC Global Internship Program (7) - ESG Data Science Internship - Other,International Finance Corporation (IFC),Washington DC (United States),Internship,Posted 1 week ago,Close on 6 Mar 2023,https://www.unjobnet.org/jobs/detail/53844379
IFC Global Internship Program (46) - Data Models and Integrations Internship - Other,International Finance Corporation (IFC),Washington DC (United States),Internship,Posted 1 week ago,Close on 6 Mar 2023,https://www.unjobnet.org/jobs/detail/53844371
IFC Global Internship Program (44) - Profitability Data Analysis Internship - Other,International Finance Corporation (IFC),Washington DC (United States),Internship,Posted 1 week ago,Close on 6 Mar 2023,https://www.unjobnet.org/jobs/detail/53844369
IFC Global Internship Program (28) - Compliance & Accountability Research Internship - Other,International Finance Corporation (IFC),Washington DC (United States),Internship,Posted 1 week ago,Close on 6 Mar 2023,https://www.unjobnet.org/jobs/detail/53844351
"IFC Global Internship Program (22) - Data Science, Impact Investment Internship - Other",International Finance Corporation (IFC),Washington DC (United States),Internship,Posted 1 week ago,Close on 6 Mar 2023,https://www.unjobnet.org/jobs/detail/53844345
IFC Global Internship Program (19) - Market Research Support Intern for FIG MCT - Other,International Finance Corporation (IFC),Washington DC (United States),Internship,Posted 1 week ago,Close on 6 Mar 2023,https://www.unjobnet.org/jobs/detail/53844341
IFC Global Internship Program (17) - Senegal Business Analysis Internship - Other,International Finance Corporation (IFC),Dakar (Senegal),Internship,Posted 1 week ago,Close on 6 Mar 2023,https://www.unjobnet.org/jobs/detail/53844339
IFC Global Internship Program (13) - Economic Impact and Research Internship - Other,International Finance Corporation (IFC),Washington DC (United States),Internship,Posted 1 week ago,Close on 6 Mar 2023,https://www.unjobnet.org/jobs/detail/53844335
"Risk Education, Community Liaison and Non-Technical Survey Specialist/Re-advertised",Danish Refugee Council (DRC),Mosul (Iraq),,Posted 1 week ago,Close on 5 Mar 2023,https://www.unjobnet.org/jobs/detail/53840403
Analyst,"The Clinton Health Access Initiative, Inc. (CHAI)",Namibia,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53760866
AnalystFinancial and Planning,Bioversity International,,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53754444
Director of Economic Evaluation & Research,International Rescue Committee (IRC),KenyaColombia,Full-time,Posted 1 week ago,Close on 1 Sep 2023,https://www.unjobnet.org/jobs/detail/53752804
Project Analyst (NPSA-8),United Nations Development Programme (UNDP),Belgrade (Serbia),Consultancy,Posted 1 week ago,Closing soon: 17 Feb 2023,https://www.unjobnet.org/jobs/detail/53749819
Clinical Research Manager I,FHI 360,,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53748662
Clinical Research Operations Manager I,FHI 360,,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53748659
"Analyst, Banking Infrastructure",European Bank for Reconstruction and Development (EBRD),Bishkek (Kyrgyzstan),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53748404
Senior Research Associate – Agricultural Economist and Agrifood Systems Forecast Specialist,International Maize and Wheat Improvement Center (CIMMYT),Kathmandu (Nepal),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53746007
